mcc,mccgrp
5811,Retail Purchase
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5812,Restaurant
5813,Restaurant
5813,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5814,Restaurant
5911,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5912,Retail Purchase
5913,Retail Purchase
5921,Retail Purchase
5921,Retail Purchase
5921,Retail Purchase
5921,Retail Purchase
5931,Retail Purchase
5932,Retail Purchase
5933,Retail Purchase
5935,Retail Purchase
5936,Retail Purchase
5937,Retail Purchase
5939,Retail Purchase
5940,Retail Purchase
5941,Retail Purchase
5941,Retail Purchase
5941,Retail Purchase
5942,Retail Purchase
5942,Retail Purchase
5942,Retail Purchase
5942,Retail Purchase
5943,Retail Purchase
5944,Jewelry
5945,Retail Purchase
5945,Retail Purchase
5946,Retail Purchase
5947,Retail Purchase
5948,Retail Purchase
5949,Retail Purchase
5950,Retail Purchase
5951,Retail Purchase
5952,Retail Purchase
5953,Retail Purchase
5955,Retail Purchase
5956,Retail Purchase
5957,Retail Purchase
5958,Retail Purchase
5959,Retail Purchase
5960,Mail/Telephone/Preauth order
5961,Retail Purchase
5962,Mail/Telephone/Preauth order
5963,Retail Purchase
5964,Mail/Telephone/Preauth order
5965,Mail/Telephone/Preauth order
5966,Mail/Telephone/Preauth order
5967,Mail/Telephone/Preauth order
5968,Mail/Telephone/Preauth order
5969,Mail/Telephone/Preauth order
5970,Retail Purchase
5971,Retail Purchase
5972,Retail Purchase
5973,Retail Purchase
5975,Retail Purchase
5976,Retail Purchase
5977,Retail Purchase
5977,Retail Purchase
5977,Retail Purchase
5977,Retail Purchase
5977,Retail Purchase
5978,Retail Purchase
